년도,평균 매매가,변동률(%)
2019,203515.11666666667,
2020,184691.75,-9.24912457362913
2021,248561.55833333332,34.5818415458911
2022,231283.10833333334,-6.951376598962556
2023,249792.08333333334,8.002735320092725
2024,269638.3333333333,7.9451076812215415
