동,아파트명,건축년도,거래 금액,거래 일,거래 월,거래 연도,전용 면적(㎡),층수,읍면동,전용면적_평수
,안산메트로타운푸르지오힐스테이트,2018,"50,000",26,2,2022,59.8167,37,선부동,18.126272727272728
,안산메트로타운푸르지오힐스테이트,2018,"51,000",22,1,2022,59.8167,46,선부동,18.126272727272728
,안산메트로타운푸르지오힐스테이트,2018,"52,500",27,8,2021,59.8167,6,선부동,18.126272727272728
,안산메트로타운푸르지오힐스테이트,2018,"39,000",27,11,2022,59.8227,5,선부동,18.128090909090908
,안산신길온천역휴먼빌,2005,"34,000",25,4,2022,59.8411,4,신길동,18.133666666666667
,푸르지오4차,2003,"50,000",26,5,2022,59.8517,3,고잔동,18.13687878787879
107동,안산푸르지오브리파크,2023,"50,000",21,3,2023,59.8555,19,원곡동,18.138030303030305
104,안산푸르지오브리파크,2023,"55,500",30,3,2024,59.8555,33,원곡동,18.138030303030305
,초지역메이저타운푸르지오파크단지,2019,"34,000",28,6,2019,59.863,14,초지동,18.14030303030303
,초지역메이저타운푸르지오파크단지,2019,"34,000",28,6,2019,59.863,30,초지동,18.14030303030303
,초지역메이저타운푸르지오파크단지,2019,"34,000",25,7,2019,59.863,14,초지동,18.14030303030303
,주공그린빌14단지,2002,"23,000",8,3,2020,59.88,7,초지동,18.145454545454548
,주공그린빌14단지,2002,"30,000",24,11,2022,59.88,8,초지동,18.145454545454548
그린빌 1409동,주공그린빌14단지,2002,"33,800",19,8,2023,59.88,6,초지동,18.145454545454548
,초지역메이저타운푸르지오에코단지,2019,"69,000",30,4,2022,59.9084,26,원곡동,18.154060606060607
,한화꿈에그린,2006,"39,500",12,10,2022,59.9254,7,원곡동,18.159212121212125
102동,이편한세상선부역어반스퀘어,2020,"51,000",24,8,2023,59.93,6,선부동,18.16060606060606
,이편한세상선부역어반스퀘어,2020,"60,000",20,10,2021,59.93,19,선부동,18.16060606060606
,초지역메이저타운푸르지오메트로단지,2019,"28,660",19,6,2019,59.9333,7,초지동,18.16160606060606
,초지역메이저타운푸르지오파크단지,2019,"34,600",1,11,2019,59.9333,15,초지동,18.16160606060606
,초지역메이저타운푸르지오메트로단지,2019,"42,000",2,12,2019,59.9333,3,초지동,18.16160606060606
104,초지역메이저타운푸르지오파크단지,2019,"58,000",23,6,2023,59.9333,23,초지동,18.16160606060606
101,초지역메이저타운푸르지오파크단지,2019,"58,000",23,8,2024,59.9333,1,초지동,18.16160606060606
104,초지역메이저타운푸르지오파크단지,2019,"59,800",13,6,2024,59.9333,21,초지동,18.16160606060606
107,초지역메이저타운푸르지오파크단지,2019,"60,900",26,11,2023,59.9333,31,초지동,18.16160606060606
,초지역메이저타운푸르지오메트로단지,2019,"74,500",27,8,2021,59.9333,22,초지동,18.16160606060606
,벽산블루밍,2004,"22,000",21,4,2020,59.95,15,원곡동,18.166666666666668
,벽산블루밍,2004,"23,000",16,7,2019,59.95,9,원곡동,18.166666666666668
,벽산블루밍,2004,"23,700",20,2,2019,59.95,16,원곡동,18.166666666666668
,벽산블루밍,2004,"23,850",27,1,2019,59.95,21,원곡동,18.166666666666668
113,벽산블루밍,2004,"34,000",31,10,2023,59.95,3,원곡동,18.166666666666668
,벽산블루밍,2004,"34,500",28,10,2022,59.95,3,원곡동,18.166666666666668
102,벽산블루밍,2004,"34,500",31,10,2024,59.95,5,원곡동,18.166666666666668
103동,이편한세상선부역어반스퀘어,2020,"48,800",28,12,2023,59.96,20,선부동,18.16969696969697
106동,이편한세상선부역어반스퀘어,2020,"49,300",25,1,2024,59.96,3,선부동,18.16969696969697
,안산8차푸르지오,2006,"26,800",27,7,2020,59.9624,3,원곡동,18.170424242424243
,안산8차푸르지오,2006,"32,800",10,2,2021,59.9624,16,원곡동,18.170424242424243
,힐스테이트중앙,2018,"45,000",23,9,2019,59.9633,34,고잔동,18.17069696969697
,안산메트로타운푸르지오힐스테이트,2018,"38,500",29,8,2020,59.9683,21,선부동,18.172212121212123
,안산메트로타운푸르지오힐스테이트,2018,"48,000",30,9,2022,59.9683,9,선부동,18.172212121212123
110동,안산푸르지오브리파크,2023,"45,400",7,2,2023,59.9692,13,원곡동,18.17248484848485
1509,그린빌15(해맑음마을),2002,"31,500",29,10,2024,59.97,2,초지동,18.172727272727272
1504,그린빌15(해맑음마을),2002,"33,200",6,4,2024,59.97,3,초지동,18.172727272727272
1508,그린빌15(해맑음마을),2002,"34,500",30,9,2024,59.97,8,초지동,18.172727272727272
1506,그린빌15(해맑음마을),2002,"34,700",29,5,2023,59.97,6,초지동,18.172727272727272
1506,그린빌15(해맑음마을),2002,"36,000",23,2,2024,59.97,12,초지동,18.172727272727272
,그린빌15(해맑음마을),2002,"39,800",26,12,2021,59.97,6,초지동,18.172727272727272
108,고잔롯데캐슬골드파크,2018,"51,900",21,9,2024,59.97,1,고잔동,18.172727272727272
105,고잔롯데캐슬골드파크,2018,"53,900",29,4,2023,59.97,8,고잔동,18.172727272727272
108,e편한세상초지역센트럴포레,2021,"53,000",12,7,2023,59.974,8,원곡동,18.173939393939396
111,e편한세상초지역센트럴포레,2021,"55,000",13,7,2024,59.974,3,원곡동,18.173939393939396
,e편한세상초지역센트럴포레,2021,"60,000",20,10,2024,59.974,23,원곡동,18.173939393939396
,e편한세상초지역센트럴포레,2021,"67,500",23,10,2021,59.974,14,원곡동,18.173939393939396
,초지역메이저타운푸르지오파크단지,2019,"33,000",28,6,2019,59.9761,12,초지동,18.17457575757576
,초지역메이저타운푸르지오파크단지,2019,"33,200",27,8,2019,59.9761,8,초지동,18.17457575757576
,초지역메이저타운푸르지오파크단지,2019,"33,700",27,8,2019,59.9761,20,초지동,18.17457575757576
,초지역메이저타운푸르지오파크단지,2019,"38,500",31,10,2019,59.9761,20,초지동,18.17457575757576
,초지역메이저타운푸르지오파크단지,2019,"40,000",5,10,2019,59.9761,17,초지동,18.17457575757576
,초지역메이저타운푸르지오파크단지,2019,"40,000",14,11,2019,59.9761,30,초지동,18.17457575757576
,초지역메이저타운푸르지오파크단지,2019,"43,000",17,12,2019,59.9761,7,초지동,18.17457575757576
,동명벽산블루밍,2010,"28,000",27,2,2019,59.98,12,선부동,18.175757575757576
,e편한세상선부파크플레이스1차,2018,"32,500",16,12,2019,59.98,17,선부동,18.175757575757576
,고잔롯데캐슬골드파크,2018,"32,950",4,4,2019,59.98,25,고잔동,18.175757575757576
,고잔롯데캐슬골드파크,2018,"33,000",22,2,2019,59.98,9,고잔동,18.175757575757576
,동명벽산블루밍,2010,"33,400",26,8,2020,59.98,13,선부동,18.175757575757576
,고잔롯데캐슬골드파크,2018,"34,500",14,3,2019,59.98,15,고잔동,18.175757575757576
,고잔롯데캐슬골드파크,2018,"36,000",7,4,2020,59.98,25,고잔동,18.175757575757576
,고잔롯데캐슬골드파크,2018,"36,000",31,7,2020,59.98,17,고잔동,18.175757575757576
105,동명벽산블루밍,2010,"39,500",12,12,2023,59.98,2,선부동,18.175757575757576
,e편한세상선부파크플레이스2차,2018,"40,000",29,12,2022,59.98,13,선부동,18.175757575757576
,고잔롯데캐슬골드파크,2018,"50,000",26,12,2022,59.98,22,고잔동,18.175757575757576
,고잔롯데캐슬골드파크,2018,"55,000",19,11,2024,59.98,29,고잔동,18.175757575757576
,롯데캐슬더퍼스트,2018,"58,000",31,3,2021,59.98,21,초지동,18.175757575757576
102,포레나안산고잔,2023,"50,000",30,9,2024,59.9893,14,고잔동,18.178575757575757
,경남아너스빌,2005,"24,000",26,1,2019,59.99,6,원곡동,18.17878787878788
111,경남아너스빌,2005,"32,500",18,5,2023,59.99,2,원곡동,18.17878787878788
,경남아너스빌,2005,"47,500",22,11,2021,59.99,10,원곡동,18.17878787878788
,두산위브,2004,"22,500",30,10,2020,59.991,5,신길동,18.17909090909091
102,두산위브,2004,"29,000",11,3,2023,59.991,14,신길동,18.17909090909091
,힐스테이트중앙,2018,"59,500",9,6,2020,59.9929,27,고잔동,18.179666666666666
107,힐스테이트중앙,2018,"59,800",31,3,2023,59.9929,37,고잔동,18.179666666666666
108,힐스테이트중앙,2018,"60,000",27,2,2023,59.9929,21,고잔동,18.179666666666666
108,힐스테이트중앙,2018,"62,000",9,6,2023,59.9929,5,고잔동,18.179666666666666
108,힐스테이트중앙,2018,"64,000",23,1,2024,59.9929,10,고잔동,18.179666666666666
108,힐스테이트중앙,2018,"64,400",27,8,2023,59.9929,32,고잔동,18.179666666666666
,초지역메이저타운푸르지오에코단지,2019,"32,100",13,6,2019,59.9932,33,원곡동,18.179757575757577
,초지역메이저타운푸르지오에코단지,2019,"45,000",14,2,2020,59.9932,7,원곡동,18.179757575757577
908,주공(9단지),1986,"34,000",27,9,2023,61.52,14,고잔동,18.642424242424244
,주공8,1987,"38,500",20,6,2022,61.52,11,고잔동,18.642424242424244
,주공(9단지),1986,"41,000",28,3,2022,61.52,6,고잔동,18.642424242424244
,대우푸르지오5,2003,"33,000",1,2,2021,63.013,13,고잔동,19.094848484848484
,대우푸르지오5,2003,"35,800",31,10,2020,63.013,4,고잔동,19.094848484848484
,대우푸르지오5,2003,"36,000",25,1,2021,63.013,11,고잔동,19.094848484848484
,대우푸르지오5,2003,"43,000",13,5,2021,63.013,2,고잔동,19.094848484848484
,대우푸르지오5,2003,"48,000",25,8,2022,63.013,15,고잔동,19.094848484848484
,주공8,1987,"30,000",20,9,2022,64.62,2,고잔동,19.581818181818186
,주공8,1987,"37,000",30,9,2021,64.62,12,고잔동,19.581818181818186
,주공(9단지),1986,"45,000",27,11,2021,66.38,4,고잔동,20.115151515151513
,주공(9단지),1986,"21,500",6,11,2019,66.56,5,고잔동,20.16969696969697
,주공(9단지),1986,"28,000",28,11,2020,66.56,12,고잔동,20.16969696969697
,주공(9단지),1986,"40,800",18,8,2021,66.56,1,고잔동,20.16969696969697
,양지마을,2001,"56,500",22,2,2022,69.546,12,고잔동,21.074545454545458
205,수정한양,1991,"31,000",29,11,2023,69.895,3,선부동,21.18030303030303
,수정한양,1991,"36,300",19,2,2022,69.895,5,선부동,21.18030303030303
108,공작한양(저층),1992,"29,700",25,5,2023,70.0025,2,선부동,21.21287878787879
,공작한양(저층),1992,"30,000",25,3,2021,70.0025,4,선부동,21.21287878787879
,공작한양(저층),1992,"34,900",24,4,2021,70.0025,4,선부동,21.21287878787879
,공작한양(저층),1992,"35,500",30,1,2022,70.0025,3,선부동,21.21287878787879
,공작한양(저층),1992,"36,000",30,3,2022,70.0025,4,선부동,21.21287878787879
,푸르지오1차,2001,"28,700",29,11,2019,71.1837,13,고잔동,21.570818181818183
,푸르지오3차,2003,"37,500",21,12,2019,71.55,5,고잔동,21.681818181818183
,푸르지오3차,2003,"46,000",7,3,2020,71.55,15,고잔동,21.681818181818183
,푸르지오3차,2003,"60,000",26,12,2024,71.55,22,고잔동,21.681818181818183
,푸르지오3차,2003,"63,000",15,5,2021,71.55,17,고잔동,21.681818181818183
,서해그랑블,2004,"25,500",30,9,2019,71.939,12,초지동,21.799696969696967
2011,서해그랑블,2004,"32,500",17,1,2023,71.939,1,초지동,21.799696969696967
2011,서해그랑블,2004,"37,000",23,7,2024,71.939,1,초지동,21.799696969696967
1010,서해그랑블,2004,"39,000",26,2,2024,71.939,14,초지동,21.799696969696967
1011,서해그랑블,2004,"40,500",5,10,2023,71.939,1,초지동,21.799696969696967
2012,서해그랑블,2004,"41,000",25,10,2023,71.939,11,초지동,21.799696969696967
