동,아파트명,건축년도,거래 금액,거래 일,거래 월,거래 연도,전용 면적(㎡),층수,읍면동,전용면적_평수
1006,까치마을,1993,"90,000",13,11,2023,39.6,7,수서동,12.000000000000002
1003,까치마을,1993,"94,500",19,10,2023,39.6,7,수서동,12.000000000000002
119,수서,1992,"88,000",10,8,2023,39.98,5,일원동,12.115151515151515
,한화진넥스빌,2001,"41,000",11,10,2022,41.68,9,역삼동,12.63030303030303
,현대비젼21,1999,"54,000",6,11,2020,42.7,27,도곡동,12.939393939393941
,대우아이빌멤버스(891-26),2003,"43,500",20,3,2023,42.837,6,대치동,12.980909090909092
,펜트힐루논현,2021,"108,000",30,12,2021,43.392,4,논현동,13.14909090909091
,펜트힐루논현,2021,"110,000",25,10,2021,43.392,4,논현동,13.14909090909091
,펜트힐루논현,2021,"115,000",27,11,2023,43.392,8,논현동,13.14909090909091
,한화진넥스빌,2001,"46,500",27,1,2022,43.58,20,역삼동,13.206060606060607
,대우디오빌플러스,2004,"40,900",26,4,2020,43.99,11,역삼동,13.330303030303032
,대우디오빌플러스,2004,"42,900",29,9,2021,43.99,3,역삼동,13.330303030303032
,도곡그린빌,1995,"49,300",24,10,2019,48.48,2,도곡동,14.690909090909091
,청담신원아침도시마인,2013,"82,500",25,2,2022,49.4473,8,청담동,14.984030303030304
,까치마을,1993,"111,910",31,8,2020,49.5,9,수서동,15.0
102,청담자이,2011,"188,000",31,8,2023,49.593,13,청담동,15.02818181818182
,청담자이,2011,"210,000",16,9,2021,49.618,11,청담동,15.035757575757577
101,청담자이,2011,"185,000",24,5,2023,49.619,13,청담동,15.036060606060607
,성원대치2단지아파트,1992,"104,000",23,12,2022,49.86,4,개포동,15.10909090909091
213,성원대치2단지아파트,1992,"131,500",27,2,2024,49.86,4,개포동,15.10909090909091
,래미안블레스티지,2019,"155,000",23,6,2020,49.909,13,개포동,15.123939393939395
209,래미안블레스티지,2019,"165,000",22,9,2023,49.909,15,개포동,15.123939393939395
,래미안블레스티지,2019,"165,000",22,9,2023,49.909,15,개포동,15.123939393939395
708,신동아,1992,"115,000",22,4,2024,49.96,3,수서동,15.13939393939394
,신동아,1992,"117,000",5,4,2021,49.96,2,수서동,15.13939393939394
,한양1차(영동한양),1977,"190,000",25,2,2021,49.98,5,압구정동,15.145454545454545
,개포주공1단지,1982,"280,000",11,9,2019,50.38,2,개포동,15.266666666666667
,개포주공1단지,1982,"198,000",30,4,2019,50.64,3,개포동,15.345454545454546
120,수서,1992,"92,000",30,1,2024,50.82,9,일원동,15.4
개포자이르네,개포자이르네,2022,"90,000",17,1,2023,50.8665,4,개포동,15.41409090909091
,한화진넥스빌,2001,"41,000",2,12,2019,51.08,9,역삼동,15.478787878787879
,한화진넥스빌,2001,"48,500",29,8,2023,51.08,6,역삼동,15.478787878787879
,삼익대청아파트,1992,"100,000",16,12,2022,51.12,15,개포동,15.49090909090909
,삼익대청아파트,1992,"136,000",14,11,2020,51.12,10,개포동,15.49090909090909
,강남자곡 힐스테이트,2015,"103,000",8,1,2022,51.96,7,자곡동,15.745454545454546
,강남자곡 힐스테이트,2015,"95,730",29,10,2021,51.99,7,자곡동,15.754545454545456
,한신(개포),1985,"225,000",30,10,2021,52.73,3,도곡동,15.978787878787879
,개포주공6단지,1983,"234,500",16,11,2024,53.06,2,개포동,16.07878787878788
,개포주공7단지,1983,"148,000",31,8,2019,53.46,7,개포동,16.200000000000003
,갤러리아트,2002,"53,000",29,4,2021,53.65,2,역삼동,16.257575757575758
505,개포주공5단지,1983,"220,000",17,7,2024,53.98,2,개포동,16.35757575757576
,삼성,1994,"108,000",14,1,2019,54.81,10,도곡동,16.60909090909091
101,삼성동한솔아파트,1998,"143,000",1,7,2024,58.57,11,삼성동,17.74848484848485
,역삼래미안,2005,"160,000",30,4,2020,59.4,17,역삼동,18.0
105,역삼래미안,2005,"168,300",26,3,2023,59.4,18,역삼동,18.0
,역삼래미안,2005,"168,300",27,3,2023,59.4,18,역삼동,18.0
111,역삼래미안,2005,"193,500",26,5,2024,59.4,11,역삼동,18.0
,대우디오빌,2002,"83,000",30,12,2021,59.505,22,역삼동,18.031818181818185
104,역삼래미안,2005,"182,000",31,12,2023,59.53,17,역삼동,18.03939393939394
112,역삼래미안,2005,"187,000",20,4,2024,59.53,9,역삼동,18.03939393939394
108,e-편한세상,2005,"200,000",27,9,2023,59.606,15,역삼동,18.062424242424242
,e-편한세상,2005,"212,500",31,3,2022,59.606,22,역삼동,18.062424242424242
101,신성아파트101동,1996,"135,000",11,5,2023,59.67,2,신사동,18.081818181818182
,서광아파트,1998,"146,500",15,2,2020,59.67,9,삼성동,18.081818181818182
,서광아파트,1998,"172,000",2,10,2021,59.67,15,삼성동,18.081818181818182
102,서광아파트,1998,"176,000",10,9,2024,59.67,11,삼성동,18.081818181818182
305,개나리푸르지오,2006,"220,000",4,6,2024,59.6851,9,역삼동,18.08639393939394
,풍림(1차),1998,"141,900",21,11,2019,59.7,5,삼성동,18.090909090909093
316,디에이치아너힐즈,2019,"203,000",21,7,2023,59.7479,2,개포동,18.105424242424245
,디에이치아너힐즈,2019,"205,000",27,6,2023,59.7479,4,개포동,18.105424242424245
101,푸른마을아파트101동~111동,1994,"123,500",16,1,2023,59.76,7,일원동,18.10909090909091
,경남,2005,"145,300",27,7,2020,59.76,7,도곡동,18.10909090909091
,푸른마을아파트101동~111동,1994,"147,000",7,5,2021,59.76,9,일원동,18.10909090909091
,경남,2005,"149,000",29,10,2020,59.76,16,도곡동,18.10909090909091
101,푸른마을아파트101동~111동,1994,"151,000",30,3,2024,59.76,11,일원동,18.10909090909091
104,경남,2005,"156,500",27,5,2024,59.76,3,도곡동,18.10909090909091
,세방하이빌1,2003,"121,000",29,2,2024,59.77,3,역삼동,18.112121212121213
,디에이치아너힐즈,2019,"215,000",5,6,2021,59.8072,7,개포동,18.123393939393942
